customer_id,segment_name,recency_days,frequency,monetary_value,return_rate,support_ticket_count,sessions_30d,product_views_30d,campaign_clicks_30d,average_discount_used
CUST00038,Discount Sensitive,-50,6,1833.2930000000001,0.0,1.0,5,23,0,0.36166666666666664
CUST00039,Dormant and At Risk,-30,4,1580.3093,0.0,0.0,6,20,1,0.265
CUST00040,Dormant and At Risk,154,1,393.5326,0.0,1.0,1,4,0,0.38
CUST00041,Discount Sensitive,54,4,1211.4356,0.0,1.0,5,19,2,0.3475
CUST00042,High Value but Unhappy,-15,10,6423.6242,0.2,6.0,3,13,2,0.22199999999999998
CUST00043,Discount Sensitive,-49,2,446.5327,0.0,0.0,3,16,0,0.365
CUST00044,Loyal Customers,-3,4,2209.3637,0.0,1.0,6,27,2,0.3675
CUST00045,Dormant and At Risk,96,1,277.2125,0.0,0.0,6,16,1,0.33
CUST00046,Dormant and At Risk,127,1,426.1869,0.0,0.0,7,31,0,0.13
CUST00047,Dormant and At Risk,204,1,642.1211999999999,0.0,0.0,2,9,1,0.16
CUST00048,Loyal Customers,-50,5,2015.2579999999998,0.2,1.0,12,38,0,0.314
CUST00049,Discount Sensitive,-22,2,724.4146999999998,0.5,0.0,4,13,1,0.405
CUST00050,Loyal Customers,-5,4,2238.4402,0.25,1.0,3,12,1,0.29500000000000004
CUST00051,Discount Sensitive,210,4,3105.6328000000003,0.0,2.0,6,32,2,0.3525
CUST00052,Loyal Customers,55,3,2164.0041,0.3333333333333333,1.0,7,34,0,0.21
CUST00053,Loyal Customers,-51,6,4046.5785,0.0,2.0,9,29,1,0.3016666666666667
CUST00054,Dormant and At Risk,-38,2,938.8747000000001,0.5,0.0,3,12,0,0.195
CUST00055,Dormant and At Risk,-60,4,1280.2131,0.0,1.0,6,32,2,0.2525
CUST00056,Loyal Customers,-8,5,2919.9208,0.0,1.0,3,15,0,0.286
CUST00057,Dormant and At Risk,136,2,1991.8409,0.0,0.0,7,21,1,0.245
CUST00058,Loyal Customers,-12,5,3198.1936,0.0,0.0,2,6,4,0.202
CUST00059,Loyal Customers,-52,5,3404.1974999999998,0.0,0.0,3,11,0,0.32599999999999996
CUST00060,Dormant and At Risk,145,1,187.66080000000002,0.0,0.0,5,26,0,0.36
CUST00061,Discount Sensitive,-58,5,1672.1428,0.0,1.0,4,19,1,0.33999999999999997
CUST00062,Loyal Customers,-11,5,2346.9141999999997,0.0,1.0,9,30,1,0.27
CUST00063,Dormant and At Risk,216,1,310.1982,0.0,1.0,0,0,0,0.22
CUST00064,Discount Sensitive,-34,3,1081.3989,0.0,0.0,8,42,0,0.34
CUST00065,Loyal Customers,-60,4,3443.2824,0.0,0.0,3,18,2,0.1925
CUST00066,Dormant and At Risk,320,5,3347.5969999999998,0.0,1.0,11,35,1,0.292
CUST00067,Dormant and At Risk,63,2,1007.8026,0.5,1.0,1,3,2,0.19999999999999998
CUST00068,Dormant and At Risk,346,3,1598.0358,0.3333333333333333,1.0,5,18,1,0.24333333333333332
CUST00069,Dormant and At Risk,29,2,681.0205,0.0,0.0,9,48,1,0.225
CUST00070,Dormant and At Risk,38,1,358.36679999999996,0.0,0.0,1,4,0,0.34
CUST00071,Dormant and At Risk,32,1,1897.5,0.0,1.0,1,3,2,0.08
CUST00072,Dormant and At Risk,90,4,1970.0936000000002,0.0,0.0,7,26,1,0.1925
CUST00073,Champions,-16,7,5331.6345,0.0,0.0,7,35,1,0.15857142857142859
CUST00074,Discount Sensitive,-35,5,1878.016,0.2,1.0,14,51,1,0.392
CUST00075,High Value but Unhappy,-17,11,5362.681,0.0,4.0,10,43,0,0.3172727272727273
CUST00076,Loyal Customers,-60,4,2235.9984999999997,0.0,0.0,17,78,0,0.23
CUST00077,Dormant and At Risk,109,1,252.3648,0.0,0.0,0,0,0,0.36
CUST00078,Dormant and At Risk,139,1,518.7810000000001,1.0,1.0,5,13,0,0.42
CUST00079,Dormant and At Risk,191,1,588.5915,0.0,0.0,2,8,0,0.05
CUST00080,Loyal Customers,-53,4,2304.3449,0.0,0.0,11,31,0,0.26249999999999996
CUST00081,Loyal Customers,-20,9,4880.3958999999995,0.2222222222222222,3.0,12,63,0,0.15222222222222223
CUST00082,Dormant and At Risk,254,3,1419.483,0.0,0.0,7,35,3,0.17
CUST00083,Discount Sensitive,89,2,534.5353,0.5,1.0,9,43,0,0.33499999999999996
CUST00084,Dormant and At Risk,167,1,1120.3984,0.0,0.0,11,60,1,0.12
CUST00085,Dormant and At Risk,14,1,1006.24,0.0,0.0,8,34,0,0.2
CUST00086,Loyal Customers,-21,6,2193.5852,0.0,1.0,7,39,2,0.265
CUST00087,Loyal Customers,-33,4,2970.5296,0.25,0.0,1,4,0,0.1825
CUST00088,Discount Sensitive,98,12,4328.5100999999995,0.0,1.0,9,29,0,0.365
CUST00089,Dormant and At Risk,165,2,2089.125,0.0,0.0,12,40,3,0.25
CUST00090,Discount Sensitive,-11,5,1640.4402,0.0,1.0,5,25,0,0.354
CUST00091,Loyal Customers,-43,5,4819.2461,0.2,1.0,9,51,0,0.186
CUST00092,Discount Sensitive,-27,2,782.4449999999999,0.0,0.0,1,5,0,0.31
CUST00093,Dormant and At Risk,85,1,668.4832,0.0,0.0,16,67,4,0.12
CUST00094,Dormant and At Risk,183,4,2880.7739,0.0,2.0,6,20,1,0.1975
CUST00095,Dormant and At Risk,65,1,219.86350000000002,0.0,1.0,10,57,1,0.41
CUST00096,Discount Sensitive,-16,4,1734.5366000000001,0.25,1.0,12,67,0,0.34249999999999997
CUST00097,Loyal Customers,-32,8,3142.8196000000003,0.125,2.0,0,0,0,0.37125
CUST00098,Dormant and At Risk,184,2,1472.62,0.0,1.0,8,34,0,0.195
CUST00099,Loyal Customers,-16,6,3275.1313999999998,0.0,1.0,4,17,2,0.16333333333333333
CUST00100,Dormant and At Risk,-58,3,1880.9691,0.3333333333333333,0.0,1,3,0,0.17666666666666667
CUST00101,Dormant and At Risk,108,5,2605.9145,0.0,2.0,2,6,0,0.274
CUST00102,Dormant and At Risk,-43,2,1773.4796,0.0,0.0,2,11,0,0.14
CUST00103,Loyal Customers,-54,3,2142.141,0.0,0.0,6,18,1,0.2233333333333333
CUST00104,Dormant and At Risk,93,1,659.3847,0.0,0.0,3,9,0,0.31
CUST00105,Dormant and At Risk,-21,2,2318.0886,0.0,0.0,1,6,0,0.19
CUST00106,Loyal Customers,61,7,3100.6823,0.0,1.0,5,19,0,0.2814285714285714
CUST00107,Loyal Customers,-29,4,3404.8922000000002,0.0,0.0,2,8,0,0.15250000000000002
CUST00108,Dormant and At Risk,44,1,838.11,1.0,1.0,5,24,0,0.22
CUST00109,Loyal Customers,-1,6,3065.0317000000005,0.0,0.0,1,4,1,0.3466666666666667
CUST00110,Loyal Customers,35,6,3147.029,0.0,2.0,4,15,0,0.26333333333333336
CUST00111,Dormant and At Risk,178,1,874.0192999999999,0.0,0.0,3,14,0,0.23
CUST00112,Loyal Customers,-27,9,4984.9027,0.2222222222222222,1.0,4,15,0,0.22777777777777775
CUST00113,Dormant and At Risk,-53,3,1409.5265000000002,0.0,0.0,17,65,0,0.2833333333333333
CUST00114,Dormant and At Risk,239,6,3724.0930999999996,0.0,1.0,3,14,1,0.265
CUST00115,Dormant and At Risk,159,1,513.0244,0.0,1.0,12,51,2,0.14
CUST00116,Dormant and At Risk,143,6,4696.4936,0.0,0.0,10,45,2,0.18666666666666668
CUST00117,Dormant and At Risk,123,4,2118.0167,0.0,0.0,2,7,0,0.16499999999999998
CUST00118,Dormant and At Risk,-47,4,1550.141,0.0,0.0,2,9,0,0.22999999999999998
CUST00119,Loyal Customers,-55,6,3200.1166000000003,0.0,1.0,12,63,0,0.3083333333333333
CUST00120,Dormant and At Risk,-29,2,615.9689,0.0,0.0,6,21,0,0.20500000000000002
CUST00121,Loyal Customers,-38,3,2421.5116,0.0,0.0,5,29,1,0.21
CUST00122,Discount Sensitive,106,2,1288.2577,0.0,0.0,10,39,4,0.36
CUST00123,Loyal Customers,-32,7,2633.5081,0.14285714285714285,3.0,2,6,0,0.3171428571428571
CUST00124,Discount Sensitive,194,4,1736.7667999999999,0.0,0.0,5,18,0,0.3375
CUST00125,Discount Sensitive,-44,3,1551.8540999999998,0.3333333333333333,0.0,0,0,1,0.3766666666666667
CUST00126,Discount Sensitive,57,2,619.6318,0.0,0.0,5,30,0,0.43
CUST00127,Discount Sensitive,-43,3,768.0151999999999,0.0,0.0,3,13,0,0.32666666666666666
CUST00128,Discount Sensitive,-55,3,1344.5114,0.0,0.0,15,88,0,0.37333333333333335
CUST00129,Loyal Customers,-29,5,2956.2287,0.2,2.0,7,34,0,0.32199999999999995
CUST00130,Discount Sensitive,-4,2,1141.5157,0.0,0.0,9,36,0,0.325
CUST00131,Loyal Customers,67,6,5016.0021,0.0,0.0,4,12,0,0.29
CUST00132,Discount Sensitive,117,5,3355.2797,0.0,0.0,1,3,0,0.346
CUST00133,Champions,-49,10,5279.2915,0.1,1.0,5,19,1,0.293
CUST00134,Loyal Customers,-42,6,3266.2419,0.16666666666666666,3.0,11,49,0,0.2866666666666667
CUST00135,Dormant and At Risk,333,4,1698.5294,0.0,0.0,3,10,1,0.29000000000000004
CUST00136,Dormant and At Risk,71,1,360.42999999999995,0.0,0.0,7,40,0,0.3
CUST00137,Discount Sensitive,177,2,705.6653,0.0,0.0,4,13,0,0.315
CUST00138,Dormant and At Risk,-25,2,966.6994,0.5,0.0,5,14,1,0.27
CUST00139,Loyal Customers,-47,4,2019.1196,0.0,2.0,5,17,0,0.3125
CUST00140,Loyal Customers,-28,5,3078.081,0.0,2.0,14,59,0,0.28600000000000003
CUST00141,Dormant and At Risk,-41,2,845.1600000000001,0.0,0.0,4,19,1,0.19
CUST00142,Discount Sensitive,169,5,1155.3800999999999,0.0,0.0,2,7,0,0.4
CUST00143,Champions,-10,7,6825.9239,0.0,0.0,5,23,1,0.17857142857142858
CUST00144,Loyal Customers,-19,10,6094.7018,0.1,3.0,8,32,2,0.305
CUST00145,Dormant and At Risk,30,1,447.09150000000005,0.0,0.0,0,0,0,0.11
CUST00146,Champions,-55,6,5651.4285,0.16666666666666666,1.0,4,15,1,0.19166666666666665
CUST00147,Loyal Customers,-34,4,2799.2104,0.0,1.0,1,3,0,0.215
CUST00148,Loyal Customers,-46,5,2949.3104000000003,0.2,1.0,5,21,1,0.21600000000000003
CUST00149,Dormant and At Risk,-51,3,1890.1906000000001,0.3333333333333333,0.0,8,21,0,0.22999999999999998
CUST00150,Discount Sensitive,-26,5,1677.8766,0.0,0.0,6,21,2,0.392
CUST00151,Loyal Customers,-17,8,4493.333,0.0,3.0,7,31,0,0.30375
CUST00152,High Value but Unhappy,-51,8,3479.2381,0.125,4.0,19,82,3,0.3575
CUST00153,Discount Sensitive,-35,2,821.224,0.0,0.0,6,22,0,0.365
CUST00154,Champions,-19,10,6414.0442,0.0,0.0,8,28,0,0.25
CUST00155,Discount Sensitive,-29,4,1394.5804,0.0,0.0,6,26,0,0.39
CUST00156,Loyal Customers,-33,3,4103.9866,0.3333333333333333,1.0,14,77,0,0.17
CUST00157,Dormant and At Risk,0,5,1772.0772,0.0,1.0,3,14,1,0.238
CUST00158,Dormant and At Risk,155,1,609.255,0.0,0.0,8,33,1,0.25
CUST00159,Dormant and At Risk,474,2,3014.9391,0.0,0.0,0,0,0,0.27
CUST00160,Dormant and At Risk,177,2,750.3254,0.0,1.0,4,20,0,0.28500000000000003
CUST00161,Loyal Customers,-47,7,4941.7901,0.14285714285714285,0.0,7,41,1,0.2057142857142857
CUST00162,Dormant and At Risk,91,2,847.7596000000001,0.0,0.0,2,12,0,0.29000000000000004
CUST00163,Discount Sensitive,-39,2,676.5448,0.0,0.0,3,13,2,0.38
CUST00164,Dormant and At Risk,222,5,3336.8156,0.0,1.0,1,3,0,0.24
CUST00165,Dormant and At Risk,-24,4,1650.2466,0.0,0.0,2,8,0,0.265
CUST00166,Loyal Customers,-23,3,2450.6538,0.0,1.0,1,4,0,0.24
CUST00167,Dormant and At Risk,219,1,321.6624,0.0,0.0,0,0,1,0.24
CUST00168,Loyal Customers,-48,5,4015.7391,0.0,0.0,2,11,0,0.172
CUST00169,Dormant and At Risk,222,1,1583.516,0.0,0.0,1,3,0,0.12
CUST00170,Champions,-44,12,5820.4311,0.0,1.0,5,19,0,0.26416666666666666
CUST00171,Loyal Customers,-30,4,2653.9128,0.25,0.0,9,27,0,0.23
CUST00172,Loyal Customers,-16,8,4078.3633999999997,0.0,3.0,5,30,2,0.36125
CUST00173,Discount Sensitive,-18,6,1343.6216,0.0,1.0,10,53,0,0.3566666666666667
CUST00174,Loyal Customers,-58,7,2775.4896,0.14285714285714285,2.0,14,58,0,0.2885714285714286
CUST00175,Loyal Customers,59,4,2792.5923000000003,0.0,1.0,5,27,0,0.225
CUST00176,Loyal Customers,-51,4,4515.5033,0.25,0.0,12,59,0,0.3025
CUST00177,Loyal Customers,-48,5,3237.8508,0.0,0.0,12,46,0,0.374
CUST00178,High Value but Unhappy,-28,9,4262.3515,0.2222222222222222,4.0,10,44,0,0.2544444444444445
CUST00179,Discount Sensitive,-25,4,967.6158,0.25,2.0,11,55,2,0.4575
CUST00180,Dormant and At Risk,96,2,1152.7648,0.5,1.0,9,29,0,0.26
CUST00181,Dormant and At Risk,-26,2,1589.2788,0.5,0.0,7,28,1,0.16
CUST00182,Discount Sensitive,-1,2,445.8442,0.5,0.0,12,35,0,0.33499999999999996
CUST00183,Dormant and At Risk,152,3,2495.6948,0.0,1.0,1,6,1,0.25
CUST00184,Loyal Customers,14,5,3799.0784000000003,0.0,2.0,6,18,0,0.27199999999999996
CUST00185,Loyal Customers,-36,9,3639.4379,0.0,0.0,11,35,1,0.3188888888888889
CUST00186,Dormant and At Risk,-45,2,1746.4493,0.0,1.0,2,9,0,0.26
CUST00187,Discount Sensitive,-8,4,1159.8792,0.0,1.0,0,0,1,0.485
CUST00188,Loyal Customers,29,7,4037.0872,0.14285714285714285,3.0,11,31,0,0.3085714285714286
CUST00189,Loyal Customers,-57,11,6484.8408,0.09090909090909091,3.0,10,52,0,0.2218181818181818
CUST00190,Dormant and At Risk,-43,2,706.4685999999999,0.0,1.0,6,16,0,0.18
CUST00191,Discount Sensitive,-52,3,543.2762,0.0,0.0,6,35,0,0.4133333333333334
CUST00192,Loyal Customers,-59,6,2535.6048,0.16666666666666666,0.0,8,22,1,0.35000000000000003
CUST00193,Dormant and At Risk,157,1,335.5446,0.0,0.0,3,16,2,0.21
CUST00194,Loyal Customers,-58,6,2626.8437,0.3333333333333333,3.0,13,37,3,0.3466666666666667
CUST00195,Discount Sensitive,-58,2,1285.0074,0.0,1.0,5,25,0,0.3
CUST00196,Dormant and At Risk,24,2,905.0128,0.0,1.0,1,3,0,0.28
CUST00197,Loyal Customers,-52,12,8618.8343,0.08333333333333333,3.0,11,34,0,0.2725
CUST00198,Loyal Customers,-35,10,5893.201,0.0,2.0,1,3,1,0.266
CUST00199,Loyal Customers,-12,5,3402.4278,0.0,1.0,3,12,0,0.242
CUST00200,Champions,-35,9,6143.2192,0.0,1.0,7,28,4,0.2
CUST00201,Dormant and At Risk,93,7,5029.2701,0.0,2.0,3,17,0,0.23857142857142857
CUST00202,Discount Sensitive,-13,2,1617.6462,0.5,0.0,9,52,1,0.315
CUST00203,Discount Sensitive,114,2,503.63109999999995,0.0,0.0,6,31,0,0.39
CUST00204,Loyal Customers,-14,6,2587.5744999999997,0.0,0.0,17,61,0,0.27666666666666667
CUST00205,Loyal Customers,-54,6,2813.6576999999997,0.0,0.0,13,68,0,0.22666666666666668
CUST00206,High Value but Unhappy,118,10,4865.9419,0.1,3.0,7,23,2,0.265
CUST00207,Dormant and At Risk,18,1,73.378,0.0,0.0,11,53,2,0.62
CUST00208,Dormant and At Risk,91,6,5559.5875,0.0,1.0,2,10,1,0.20000000000000004
CUST00209,Dormant and At Risk,279,5,2797.5317,0.2,1.0,3,14,0,0.192
CUST00210,Dormant and At Risk,128,2,977.0293000000001,0.0,0.0,3,18,0,0.27
CUST00211,Champions,-33,7,20415.1379,0.0,1.0,4,20,0,0.31714285714285717
CUST00212,Discount Sensitive,204,3,1515.0403999999999,0.0,0.0,3,11,1,0.32666666666666666
CUST00213,Dormant and At Risk,86,2,1438.2157,1.0,2.0,2,9,0,0.2
CUST00214,Dormant and At Risk,64,1,1113.1848,0.0,0.0,3,9,0,0.22
CUST00215,Dormant and At Risk,34,3,1300.8292999999999,0.0,1.0,8,24,2,0.19666666666666666
CUST00216,Dormant and At Risk,48,1,985.0766,1.0,1.0,7,20,0,0.27
CUST00217,Discount Sensitive,79,3,773.8398,0.0,0.0,2,11,0,0.35333333333333333
CUST00218,Loyal Customers,-46,4,2418.8936,0.25,0.0,1,5,0,0.11
CUST00219,Discount Sensitive,154,6,1692.1594,0.0,1.0,3,8,1,0.36166666666666664
CUST00220,Dormant and At Risk,-42,4,1305.1988999999999,0.0,1.0,14,73,2,0.25
CUST00221,Discount Sensitive,-52,3,911.2293999999999,0.0,0.0,16,91,2,0.33
CUST00222,Discount Sensitive,186,2,670.381,0.0,1.0,1,6,0,0.45
CUST00223,Dormant and At Risk,103,1,356.0626,0.0,1.0,1,6,0,0.53
CUST00224,Loyal Customers,-53,4,2350.6800000000003,0.25,1.0,1,5,1,0.28500000000000003
CUST00225,Loyal Customers,88,3,2041.0812,0.0,0.0,3,9,0,0.32
CUST00226,Loyal Customers,-56,4,3174.7706,0.25,1.0,6,30,0,0.1675
CUST00227,Dormant and At Risk,153,6,3125.9404,0.16666666666666666,2.0,0,0,0,0.2816666666666667
CUST00228,Loyal Customers,82,7,2794.2644999999998,0.14285714285714285,2.0,6,28,2,0.33428571428571424
CUST00229,Discount Sensitive,92,5,2296.0613,0.0,1.0,8,27,0,0.304
CUST00230,Loyal Customers,-45,9,6953.308300000001,0.0,2.0,17,93,1,0.21666666666666667
CUST00231,Dormant and At Risk,-39,4,1942.1531,0.0,0.0,6,30,0,0.185
CUST00232,Loyal Customers,-53,3,2309.7158,0.0,0.0,2,5,0,0.24666666666666667
CUST00233,Dormant and At Risk,361,3,1178.1151,0.0,0.0,5,27,1,0.2866666666666667
CUST00234,Champions,-26,7,5129.9078,0.0,0.0,6,30,0,0.16428571428571428
CUST00235,Loyal Customers,-48,5,2527.2695999999996,0.0,0.0,2,12,0,0.21600000000000003
CUST00236,Discount Sensitive,-43,2,1253.4432,0.0,1.0,8,27,0,0.31
CUST00237,Loyal Customers,-31,5,3032.9116,0.0,0.0,8,44,1,0.262
CUST00238,Loyal Customers,-4,3,3330.2274,0.3333333333333333,2.0,1,3,0,0.16333333333333333
CUST00239,Dormant and At Risk,320,1,101.969,0.0,0.0,4,20,0,0.51
CUST00240,Loyal Customers,-43,3,2375.7964,0.0,1.0,4,15,0,0.17333333333333334
CUST00241,Loyal Customers,-54,4,2830.8970000000004,0.0,0.0,12,40,1,0.38
CUST00242,Loyal Customers,-45,7,2805.4591,0.14285714285714285,0.0,11,36,5,0.30428571428571427
CUST00243,Discount Sensitive,69,4,1989.6561,0.25,1.0,3,17,0,0.395
CUST00244,Dormant and At Risk,144,2,1885.4115000000002,0.0,0.0,1,5,0,0.22499999999999998
CUST00245,Loyal Customers,-52,5,2571.1273,0.0,0.0,6,27,4,0.306
CUST00246,Loyal Customers,-27,5,2425.9708,0.2,1.0,6,22,1,0.198
CUST00247,Loyal Customers,57,11,3177.3471,0.0,3.0,5,13,2,0.41363636363636364
CUST00248,Loyal Customers,-8,8,3136.4816,0.0,0.0,2,7,0,0.30874999999999997
CUST00249,Discount Sensitive,162,3,1077.3578000000002,0.0,0.0,5,15,1,0.4066666666666667
CUST00250,Dormant and At Risk,-24,2,950.1351,0.0,0.0,6,26,0,0.28500000000000003
CUST00251,Dormant and At Risk,41,1,609.0399,1.0,1.0,14,76,0,0.37
CUST00252,Discount Sensitive,190,6,3530.5255,0.0,0.0,4,17,2,0.3216666666666667
CUST00253,Dormant and At Risk,191,3,1474.7221,0.0,0.0,3,8,1,0.19999999999999998
CUST00254,Discount Sensitive,183,4,2020.2825,0.0,0.0,4,22,1,0.33999999999999997
CUST00255,Loyal Customers,-11,7,4084.4854,0.14285714285714285,2.0,10,26,1,0.24714285714285714
CUST00256,Dormant and At Risk,181,2,1566.3584,0.0,1.0,1,3,0,0.105
CUST00257,Discount Sensitive,-10,3,926.5233000000001,0.0,0.0,7,39,0,0.32666666666666666
CUST00258,Champions,-25,11,5046.8495,0.0,1.0,7,21,0,0.26545454545454544
CUST00259,Dormant and At Risk,192,1,1033.1444,0.0,0.0,0,0,0,0.32
CUST00260,Discount Sensitive,-47,3,1401.8107,0.0,0.0,7,32,0,0.3566666666666667
CUST00261,Loyal Customers,-54,3,2168.4018,0.0,0.0,0,0,0,0.3
CUST00262,Dormant and At Risk,-51,3,1424.0104000000001,0.0,0.0,5,16,0,0.16666666666666666
CUST00263,High Value but Unhappy,-11,13,5542.1692,0.23076923076923078,6.0,15,63,2,0.3376923076923077
CUST00264,Discount Sensitive,31,2,471.8268,0.0,1.0,7,29,1,0.31
CUST00265,Dormant and At Risk,-51,3,1553.9897999999998,0.0,0.0,7,27,0,0.20000000000000004
CUST00266,Dormant and At Risk,158,4,4275.2293,0.25,2.0,1,4,0,0.255
CUST00267,Loyal Customers,29,4,2993.7021,0.25,2.0,8,21,0,0.25
CUST00268,Loyal Customers,-21,4,3938.0735999999997,0.0,1.0,6,24,1,0.33
CUST00269,Loyal Customers,-27,4,2213.7906000000003,0.0,1.0,11,46,1,0.3025
CUST00270,Loyal Customers,-47,4,2431.8681,0.25,0.0,8,27,2,0.2325
CUST00271,Loyal Customers,-51,6,4117.3108,0.0,0.0,1,5,0,0.2416666666666667
CUST00272,Champions,-7,14,11046.777,0.0,0.0,7,42,0,0.23142857142857146
CUST00273,High Value but Unhappy,-38,9,5272.9761,0.1111111111111111,4.0,7,19,1,0.19555555555555557
CUST00274,Dormant and At Risk,-5,2,707.4075,0.0,0.0,1,4,0,0.255
CUST00275,Dormant and At Risk,241,6,3078.1528,0.0,1.0,5,27,1,0.22
CUST00276,Champions,-51,7,7027.902,0.0,0.0,9,30,1,0.25
CUST00277,Dormant and At Risk,-55,4,1711.5959,0.25,0.0,2,7,0,0.23
CUST00278,Dormant and At Risk,69,4,1992.0166,0.0,2.0,7,39,0,0.265
CUST00279,Loyal Customers,-21,10,4425.2369,0.0,1.0,9,38,2,0.33799999999999997
CUST00280,Champions,-8,9,5941.4734,0.0,0.0,6,18,0,0.2688888888888889
CUST00281,Discount Sensitive,35,2,746.8503000000001,0.0,0.0,3,17,0,0.335
CUST00282,Discount Sensitive,296,2,525.3262,0.0,1.0,1,5,0,0.33999999999999997
CUST00283,High Value but Unhappy,-19,11,5538.674599999999,0.18181818181818182,4.0,8,21,0,0.33272727272727276
CUST00284,Discount Sensitive,291,2,524.9580000000001,0.0,0.0,1,5,1,0.345
CUST00285,Discount Sensitive,-38,5,1858.4904999999999,0.0,0.0,10,34,0,0.312
CUST00286,Discount Sensitive,369,2,1133.703,0.0,1.0,1,4,1,0.395
CUST00287,Loyal Customers,-21,7,4953.442999999999,0.0,1.0,8,21,1,0.25857142857142856
CUST00288,Dormant and At Risk,110,2,834.4071000000001,0.0,1.0,1,4,0,0.255
CUST00289,Dormant and At Risk,-5,3,944.7256,0.0,0.0,5,13,0,0.2833333333333333
CUST00290,Dormant and At Risk,-2,2,717.6136,0.0,1.0,6,22,0,0.23
CUST00291,Loyal Customers,58,9,3985.654,0.2222222222222222,3.0,4,16,1,0.33555555555555555
CUST00292,Loyal Customers,-53,4,2616.9377,0.25,1.0,6,22,2,0.17750000000000002
CUST00293,Discount Sensitive,230,3,1239.9541000000002,0.0,0.0,3,9,0,0.3233333333333333
CUST00294,Loyal Customers,-26,3,3050.8594000000003,0.0,0.0,15,54,6,0.16333333333333333
CUST00295,Loyal Customers,-50,5,2464.7918,0.0,0.0,2,9,0,0.418
CUST00296,Dormant and At Risk,132,4,1606.7817,0.0,0.0,2,10,0,0.195
CUST00297,Dormant and At Risk,154,1,949.4436,0.0,1.0,13,41,2,0.16
CUST00298,Dormant and At Risk,201,1,898.392,0.0,0.0,6,16,2,0.2
